param	n	pearson	p	sigma
ycbZ	589	0.363	7.508e-18	9.4394
mgrB	589	0.3632	7.101e-18	9.4459
yciC	589	0.3636	6.501e-18	9.4562
yedI	589	0.3646	5.049e-18	9.4856
yeiE	589	0.3648	4.751e-18	9.4927
gntP	589	0.366	3.441e-18	9.5301
gnsB	589	0.3663	3.211e-18	9.5381
frdB	589	0.3672	2.522e-18	9.5660
murC	589	0.3677	2.228e-18	9.5803
ppx	589	0.3681	2.034e-18	9.5908
trmI	589	0.3681	2.017e-18	9.5918
ybaA	589	0.3695	1.39e-18	9.6345
yjiA	589	0.3697	1.327e-18	9.6399
yebK	589	0.3702	1.16e-18	9.6553
prpD	589	0.3703	1.125e-18	9.6588
yjjN	589	0.3709	9.539e-19	9.6777
ybgA	589	0.3711	9.153e-19	9.6824
pgpB	589	0.3718	7.525e-19	9.7047
miaA	589	0.3721	7.002e-19	9.7130
yahI	589	0.3723	6.567e-19	9.7203
nanE	589	0.3724	6.415e-19	9.7229
yehY	589	0.3726	6.139e-19	9.7279
lplT	589	0.373	5.534e-19	9.7397
napD	589	0.373	5.568e-19	9.7390
uxuA	589	0.3737	4.537e-19	9.7623
cmk	589	0.3738	4.505e-19	9.7631
narJ	589	0.3743	3.859e-19	9.7807
yjfF	589	0.3746	3.626e-19	9.7877
smtA	589	0.375	3.233e-19	9.8007
sapC	589	0.3751	3.122e-19	9.8046
glxK	589	0.3757	2.694e-19	9.8213
yigP	589	0.3757	2.69e-19	9.8215
hcaT	589	0.3769	1.91e-19	9.8601
murR	589	0.378	1.439e-19	9.8920
yihX	589	0.3781	1.402e-19	9.8949
murF	589	0.3785	1.262e-19	9.9067
rcsD	589	0.3808	6.631e-20	9.9786
syd	589	0.3815	5.502e-20	9.9994
gcvH	589	0.3819	4.978e-20	10.0106
napG	589	0.3821	4.686e-20	10.0173
dxr	589	0.3823	4.361e-20	10.0253
nudI	589	0.3825	4.215e-20	10.0290
mhpD	589	0.383	3.67e-20	10.0444
nupC	589	0.3843	2.561e-20	10.0843
gcvT	589	0.3844	2.443e-20	10.0894
murE	589	0.3852	1.959e-20	10.1139
prpB	589	0.3853	1.899e-20	10.1173
yjjL	589	0.3854	1.857e-20	10.1198
rluD	589	0.3869	1.24e-20	10.1642
uxuB	589	0.3875	1.041e-20	10.1834
yciO	589	0.3877	9.874e-21	10.1892
surE	589	0.3882	8.401e-21	10.2069
agaR	589	0.3893	6.224e-21	10.2397
yliI	589	0.3898	5.386e-21	10.2555
yjiS	589	0.3902	4.778e-21	10.2685
csiR	589	0.3908	4.086e-21	10.2856
fabB	589	0.391	3.827e-21	10.2927
astB	589	0.3914	3.423e-21	10.3048
murG	589	0.3919	2.956e-21	10.3208
dbpA	589	0.3947	1.315e-21	10.4084
mlaA	589	0.3951	1.184e-21	10.4197
fdoG	589	0.3963	8.24e-22	10.4587
yjiN	589	0.3974	6.109e-22	10.4908
nagA	589	0.3977	5.584e-22	10.5004
yacC	589	0.3983	4.583e-22	10.5215
ftsB	589	0.3984	4.534e-22	10.5227
ubiA	589	0.4001	2.761e-22	10.5756
dnaE	589	0.4004	2.512e-22	10.5857
mdoB	589	0.4018	1.635e-22	10.6313
nadR	589	0.4041	8.367e-23	10.7021
yfcZ	589	0.4058	4.964e-23	10.7571
ygiA	589	0.4065	3.96e-23	10.7808
rsmH	589	0.4068	3.651e-23	10.7893
nfo	589	0.4074	3.088e-23	10.8069
ybaL	589	0.408	2.569e-23	10.8261
ydcV	589	0.4103	1.251e-23	10.9012
pcm	589	0.4135	4.703e-24	11.0025
truD	589	0.4143	3.625e-24	11.0294
mog	589	0.4171	1.532e-24	11.1179
ddlB	589	0.4171	1.511e-24	11.1192
ybhB	589	0.4178	1.198e-24	11.1430
tsx	589	0.4188	8.735e-25	11.1753
mraZ	589	0.4215	3.796e-25	11.2601
ftsL	589	0.4222	2.976e-25	11.2847
btuD	589	0.4258	9.45e-26	11.4004
arfB	589	0.4279	4.712e-26	11.4702
yehX	589	0.4293	2.962e-26	11.5166
yaeQ	589	0.4303	2.154e-26	11.5483
ubiB	589	0.4308	1.827e-26	11.5647
yqfA	589	0.4346	5.151e-27	11.6900
yjiC	589	0.4416	4.744e-28	11.9235
tamB	589	0.4486	4.088e-29	12.1600
tnaC	589	0.451	1.729e-29	12.2423
eco	589	0.4537	6.592e-30	12.3339
cspG	589	0.4627	2.376e-31	12.6462
add	589	0.485	4.102e-35	13.4359
ycdZ	589	0.4918	2.518e-36	13.6835
melA	589	0.5106	7.451e-40	14.3882
kbl	589	0.5158	7.309e-41	14.5855
tppB	589	0.5172	3.81e-41	14.6405
nhaA	589	0.5216	4.915e-42	14.8127
udp	589	0.5528	1.005e-48	16.0703
cdd	589	0.5878	2.738e-57	17.6019
